,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_otherstate,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,closed_at_year,closed_at_month,first_funding_at_year
0,3,4,6,3,3,375000,3,0,0,0,0,0,1,0,1,2024,11,2009
1,9,7,7,9,4,40100000,1,0,0,1,1,1,4,1,1,2024,11,2005
2,1,1,2,5,1,2600000,2,0,1,0,0,0,4,1,1,2024,11,2010
3,5,6,6,5,3,40000000,1,0,0,1,1,1,3,1,1,2024,11,2005
4,1,0,0,2,2,1300000,1,0,0,0,0,0,1,1,0,2012,1,2010
5,4,5,5,3,1,7500000,1,0,0,1,0,0,3,1,0,2024,11,2006
6,5,3,6,6,3,26000000,2,0,1,1,0,0,1,1,1,2024,11,2006
7,6,5,7,25,3,34100000,3,0,1,1,0,1,3,1,1,2024,11,2005
8,11,8,9,13,3,9650000,4,0,1,0,0,1,4,1,1,2024,11,2005
9,4,2,6,14,3,5750000,4,0,1,0,0,0,1,1,1,2024,11,2007
10,9,10,10,22,3,27500000,3,0,1,1,0,0,1,1,1,2024,11,2005
11,5,0,4,8,5,10400000,2,0,1,0,0,0,1,1,0,2011,2,2007
12,4,0,0,0,1,350000,0,1,0,0,0,0,1,0,0,2024,11,2008
13,2,0,4,15,3,9950000,3,0,1,1,1,0,2,1,1,2024,11,2007
14,8,8,8,12,5,10700000,1,1,1,1,0,0,2,1,1,2024,11,2005
15,6,0,0,0,1,200000,0,1,0,0,0,0,1,0,0,2024,11,2005
16,6,5,5,8,5,49000000,1,0,1,1,1,1,3,1,0,2024,11,2005
17,7,0,12,7,4,25000000,3,0,1,1,1,1,3,1,1,2024,11,2005
18,1,1,3,10,3,4575000,3,0,1,0,0,0,5,1,1,2024,11,2010
19,2,3,3,13,2,28000000,3,0,1,1,0,0,1,1,0,2011,10,2009
20,3,4,9,8,2,4355000,3,0,1,0,0,0,1,0,1,2024,11,2003
21,3,3,3,3,1,15000000,1,1,0,1,0,0,2,1,0,2024,11,2007
22,5,0,0,1,1,3170000,1,0,1,0,0,0,2,0,0,2024,11,2007
23,3,3,5,4,2,2300000,3,0,1,0,0,0,2,0,0,2013,2,2007
