,state_code,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,closed_at_year,closed_at_month,yyyy,mm,month_name,first_funding_at_year,first_funding_at_month
0,CA,92101,San Diego,Bandsintown,2007-01-01,2024-11-22,2009-04-01,2010-01-01,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,1,2024,11,2010,1,Jan,2009,4
1,CA,95032,Los Gatos,TriCipher,2000-01-01,2024-11-22,2005-02-14,2009-12-28,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1,2024,11,2009,12,Dec,2005,2
2,CA,92121,San Diego,Plixi,2009-03-18,2024-11-22,2010-03-30,2010-03-30,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,1,2024,11,2010,3,Mar,2010,3
3,CA,95014,Cupertino,Solidcore Systems,2002-01-01,2024-11-22,2005-02-17,2007-04-25,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,1,2024,11,2007,4,Apr,2005,2
4,CA,94105,San Francisco,Inhale Digital,2010-08-01,2012-01-10,2010-08-01,2012-04-01,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,0,2012,1,2012,4,Apr,2010,8
5,CA,94043,Mountain View,Matisse Networks,2002-01-01,2024-11-22,2006-07-18,2006-07-18,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,2024,11,2006,7,Jul,2006,7
6,CA,94041,Mountain View,RingCube Technologies,2005-01-01,2024-11-22,2006-09-21,2010-03-18,1.7205,5.211,3.0,6.6082,6,3,26000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,1,2024,11,2010,3,Mar,2006,9
7,CA,94901,San Rafael,ClairMail,2004-01-01,2024-11-22,2005-08-24,2010-10-04,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,1,2024,11,2010,10,Oct,2005,8
8,MA,1267,Williamstown,VoodooVox,2002-01-01,2024-11-22,2005-08-02,2013-02-08,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,1,2024,11,2013,2,Feb,2005,8
9,CA,94306,Palo Alto,Doostang,2005-06-01,2024-11-22,2007-02-01,2010-02-05,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,1,2024,11,2010,2,Feb,2007,2
10,CA,94025,Menlo Park,Zong,2000-11-15,2024-11-22,2005-07-01,2010-04-26,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,1,2024,11,2010,4,Apr,2005,7
11,CA,94025,Menlo Park,Center'd,2006-01-01,2011-02-12,2007-02-01,2011-05-03,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,0,2011,2,2011,5,May,2007,2
12,KY,40204,Louisville,Resonant Vibes,2004-01-01,2024-11-22,2008-11-25,2008-11-25,4.9041,4.9041,0,0,0,1,350000,0,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,2024,11,2008,11,Nov,2008,11
13,NY,11201,Brooklyn,drop.io,2007-11-26,2024-11-22,2007-12-03,2010-05-03,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,education,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,1,2024,11,2010,5,May,2007,12
14,CO,80202,Denver,Stratavia,2001-01-01,2024-11-22,2005-08-31,2009-12-29,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1,2024,11,2009,12,Dec,2005,8
15,VA,22182,Vienna,Invicta Networks,1999-01-01,2024-11-22,2005-08-09,2005-08-09,6.6082,6.6082,0,0,0,1,200000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,2024,11,2005,8,Aug,2005,8
16,CA,94022,Los Altos,QSecure,2003-01-01,2024-11-22,2005-08-02,2009-10-05,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,0,2024,11,2009,10,Oct,2005,8
17,CA,94010,Burlingame,MeeVee,2000-07-01,2024-11-22,2005-02-01,2007-09-01,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,1,2024,11,2007,9,Sep,2005,2
18,NY,10004,New York,SinglePlatform,2010-01-01,2024-11-22,2010-09-29,2011-08-01,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,1,2024,11,2011,8,Aug,2010,9
19,CA,94301,Palo Alto,Bling Nation,2007-01-01,2011-10-09,2009-07-02,2009-10-30,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,0,2011,10,2009,10,Oct,2009,7
20,TX,78735,Austin,Metreos Corporation,2001-01-01,2024-11-22,2003-03-20,2004-10-14,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,1,2024,11,2004,10,Oct,2003,3
21,WA,98122,Seattle,Hidden City Games,2004-01-01,2024-11-22,2007-10-31,2007-10-31,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,2024,11,2007,10,Oct,2007,10
22,CA,94306,Palo Alto,Neopolitan Networks,2002-01-01,2024-11-22,2007-06-28,2007-06-28,5.4904,5.4904,0.0,0.0,1,1,3170000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,2024,11,2007,6,Jun,2007,6
23,CA,94103,San Francisco,Pixelpipe,2008-01-01,2013-02-08,2007-01-01,2011-04-25,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,0,2013,2,2011,4,Apr,2007,1
24,CO,80302,Boulder,EventVue,2007-05-01,2010-01-02,2007-08-01,2007-09-01,0.2521,0.337,0,0,5,2,455000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,0,2010,1,2007,9,Sep,2007,8
